cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:46:43;4;12;0;0;0
2;2019-04-16 12:46:44;4;12;0;0;0
2;2019-04-16 12:46:45;4;12;0;0;0
2;2019-04-16 12:46:46;4;12;0;0;0
2;2019-04-16 12:46:47;4;12;0;0;0
2;2019-04-16 12:46:48;4;12;0;0;0
2;2019-04-16 12:46:49;4;12;0;0;0
2;2019-04-16 12:46:50;4;12;0;0;0
2;2019-04-16 12:46:51;4;12;0;0;0
2;2019-04-16 12:46:52;4;12;0;0;0
2;2019-04-16 12:46:53;4;12;0;0;0
2;2019-04-16 12:46:54;4;12;0;0;0
2;2019-04-16 12:46:55;4;12;0;0;0
2;2019-04-16 12:46:56;4;12;0;0;0
2;2019-04-16 12:46:57;4;12;0;0;0
2;2019-04-16 12:46:58;4;12;0;0;0
2;2019-04-16 12:46:59;4;12;0;0;0
2;2019-04-16 12:47:00;4;12;0;0;0
2;2019-04-16 12:47:01;4;12;0;0;0
2;2019-04-16 12:47:02;4;12;0;0;0
2;2019-04-16 12:47:03;4;12;0;0;0
2;2019-04-16 12:47:04;4;12;0;0;0
2;2019-04-16 12:47:05;4;12;0;0;0
2;2019-04-16 12:47:06;4;12;0;0;0
2;2019-04-16 12:47:07;4;12;0;0;0
2;2019-04-16 12:47:08;4;12;0;0;0
2;2019-04-16 12:47:09;4;12;0;0;0
2;2019-04-16 12:47:10;4;12;0;0;0
2;2019-04-16 12:47:11;4;12;0;0;0
2;2019-04-16 12:47:12;4;12;0;0;0
2;2019-04-16 12:47:13;4;12;0;0;0
2;2019-04-16 12:47:14;4;12;0;0;0
2;2019-04-16 12:47:15;4;12;0;0;0
2;2019-04-16 12:47:16;4;12;0;0;0
2;2019-04-16 12:47:17;4;12;0;0;0
2;2019-04-16 12:47:18;4;12;0;0;0
2;2019-04-16 12:47:19;4;12;0;0;0
2;2019-04-16 12:47:20;4;12;0;0;0
2;2019-04-16 12:47:21;4;12;0;0;0
2;2019-04-16 12:47:22;4;12;0;0;0
2;2019-04-16 12:47:23;4;12;0;0;0
2;2019-04-16 12:47:24;4;12;0;0;0
2;2019-04-16 12:47:25;4;12;0;0;0
2;2019-04-16 12:47:26;4;12;0;0;0
2;2019-04-16 12:47:27;4;12;0;0;0
2;2019-04-16 12:47:28;4;12;0;0;0
2;2019-04-16 12:47:29;4;12;0;0;0
2;2019-04-16 12:47:30;4;12;0;0;0
2;2019-04-16 12:47:31;4;12;0;0;0
2;2019-04-16 12:47:32;4;12;0;0;0
2;2019-04-16 12:47:33;4;12;0;0;0
2;2019-04-16 12:47:34;4;12;0;0;0
2;2019-04-16 12:47:35;4;12;0;0;0
2;2019-04-16 12:47:36;4;12;0;0;0
2;2019-04-16 12:47:37;4;12;0;0;0
2;2019-04-16 12:47:38;4;12;0;0;0
2;2019-04-16 12:47:39;4;12;0;0;0
2;2019-04-16 12:47:40;4;12;0;0;0
2;2019-04-16 12:47:41;4;12;0;0;0
2;2019-04-16 12:47:42;4;12;0;0;0
2;2019-04-16 12:47:43;4;12;0;0;0
2;2019-04-16 12:47:44;4;12;0;0;0
2;2019-04-16 12:47:45;4;12;0;0;0
2;2019-04-16 12:47:46;4;12;0;0;0
2;2019-04-16 12:47:47;4;12;0;0;0
2;2019-04-16 12:47:48;4;12;0;0;0
2;2019-04-16 12:47:49;4;12;0;0;0
2;2019-04-16 12:47:50;4;12;0;0;0
2;2019-04-16 12:47:51;4;12;0;0;0
2;2019-04-16 12:47:52;4;12;0;0;0
2;2019-04-16 12:47:53;4;12;0;0;0
2;2019-04-16 12:47:54;4;12;0;0;0
2;2019-04-16 12:47:55;4;12;0;0;0
2;2019-04-16 12:47:56;4;12;0;0;0
2;2019-04-16 12:47:57;4;12;0;0;0
2;2019-04-16 12:47:58;4;12;0;0;0
2;2019-04-16 12:47:59;4;12;0;0;0
2;2019-04-16 12:48:00;4;12;0;0;0
2;2019-04-16 12:48:01;4;12;0;0;0
2;2019-04-16 12:48:02;4;12;0;0;0
2;2019-04-16 12:48:03;4;12;0;0;0
2;2019-04-16 12:48:04;4;12;0;0;0
2;2019-04-16 12:48:05;4;12;0;0;0
